year,state_id,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,47,0.03,3000,0.03,3000,NULL,NULL,NULL,NULL,NULL
2023,47,0.05,5000,0.05,5000,NULL,NULL,NULL,NULL,NULL
2023,47,0.0575,17000,0.0575,17000,NULL,NULL,NULL,NULL,NULL
2023,48,0,NULL,0,NULL,250000,250000,0,0,0
2023,49,0.03,0,0.03,0,0,0,2000,4000,2000
2023,49,0.04,10000,0.04,10000,NULL,NULL,NULL,NULL,NULL
2023,49,0.045,25000,0.045,25000,NULL,NULL,NULL,NULL,NULL
2023,49,0.06,40000,0.06,40000,NULL,NULL,NULL,NULL,NULL
2023,49,0.065,60000,0.065,60000,NULL,NULL,NULL,NULL,NULL
2023,50,0.0354,0,0.0354,0,12760,23620,700,1400,700
2023,50,0.0465,13810,0.0465,18420,NULL,NULL,NULL,NULL,NULL
2023,50,0.053,27630,0.053,36840,NULL,NULL,NULL,NULL,NULL
2023,50,0.0765,304170,0.0765,405550,NULL,NULL,NULL,NULL,NULL
2023,51,0,NULL,0,NULL,0,0,0,0,0
2023,9,0.04,0,0.04,0,13850,27700,0,0,0
2023,9,0.06,10000,0.06,10000,NULL,NULL,NULL,NULL,NULL
2023,9,0.065,40000,0.065,40000,NULL,NULL,NULL,NULL,NULL
2023,9,0.085,60000,0.085,60000,NULL,NULL,NULL,NULL,NULL
2023,9,0.0925,250000,0.0925,250000,NULL,NULL,NULL,NULL,NULL
2023,9,0.0975,500000,0.0975,500000,NULL,NULL,NULL,NULL,NULL
2023,9,0.1075,1000000,0.1075,1000000,NULL,NULL,NULL,NULL,NULL
